name,locality,cuisines,cost,highlights,aggregate_rating,rating_text,votes,type
Y Cafe & Restaurant,Karanpur,Cafe,500,"Cash, Credit Card, Dinner, Takeaway Available, Lunch, No Alcohol Available, Debit Card, Indoor Seating, Desserts and Bakes, Air Conditioned, Table Reservation Not Required",3.9,Good,196,Cafe
Bikanervala,Hathibarkala Salwala,"Street Food, Fast Food, South Indian, Mithai, Beverages",550,"No Alcohol Available, Dinner, Cash, Delivery, Breakfast, Lunch, Takeaway Available, Credit Card, Debit Card, Free Parking, Pure Veg, Indoor Seating, Air Conditioned, Self Service",3.7,Good,124,Quick Bites
Kwik Bite Centre,Paltan Bazaar,"Chinese, South Indian, Fast Food",300,"Lunch, Takeaway Available, No Alcohol Available, Dinner, Cash, Indoor Seating, Air Conditioned",4,Very Good,291,Quick Bites
Nathus Sweets,Ballupur,"Mithai, North Indian, South Indian, Fast Food",500,"Cash, Takeaway Available, Credit Card, Debit Card, No Alcohol Available, Dinner, Delivery, Breakfast, Lunch, Free Parking, Pure Veg, Desserts and Bakes, Indoor Seating, Air Conditioned",3.8,Good,191,Quick Bites
Zaffran- Regenta LP Vilas,"Regenta LP Vilas, Prem Nagar","Continental, Chinese, Indian, Thai",1000,"Credit Card, Breakfast, Lunch, Cash, Debit Card, No Alcohol Available, Dinner, Indoor Seating",4.4,Very Good,109,Casual Dining
Meet Me There,Krishna Nagar,Fast Food,350,"Delivery, Lunch, Takeaway Available, No Alcohol Available, Dinner, Cash, Indoor Seating, Air Conditioned",4,Very Good,113,Quick Bites
The Punjabi Essence Restaurant,Chukkuwala,"South Indian, Chinese, North Indian",800,"Dinner, Takeaway Available, Delivery, Cash, Lunch, Debit Card, Credit Card, Air Conditioned, Axis Bank - Dining Delights, Indoor Seating",3.9,Good,221,Fine Dining
Mago Veg & Non Veg Restaurant,Krishna Nagar,"North Indian, Biryani, Chinese, Beverages",600,"Dinner, Cash, Takeaway Available, Credit Card, Debit Card, Lunch, Delivery, Breakfast, Indoor Seating, Table booking recommended, Pure Veg",4,Very Good,152,Casual Dining
Best Buddys Cafe,Malsi,"Cafe, Fast Food",500,"Debit Card, Takeaway Available, Lunch, Credit Card, Dinner, Breakfast, No Alcohol Available, Cash, Wifi, Table booking recommended, Indoor Seating, Outdoor Seating, Air Conditioned",4.2,Very Good,126,Cafe
THC- Truckers Halt Cafe,Rajpur,"American, Burger, Fast Food",400,"Debit Card, Lunch, Takeaway Available, Credit Card, Dinner, Cash, Delivery, Outdoor Seating, Air Conditioned, Wifi, Indoor Seating",4,Very Good,122,Food Truck
Riverstone Cottages,Malsi,North Indian,700,"Lunch, Serves Alcohol, Cash, Debit Card, Dinner, Credit Card, Smoking Area, Indoor Seating, Fullbar, Table booking recommended, Valet Parking Available, Air Conditioned",4.1,Very Good,127,Casual Dining
Naveen Vegetarian,Paltan Bazaar,North Indian,550,"Dinner, Takeaway Available, Credit Card, Debit Card, Lunch, Cash, Indoor Seating, Table Reservation Not Required, Digital Payments Accepted, Pure Veg",3.8,Good,169,Casual Dining
Tonic,Ballupur,"North Indian, Chinese",1000,"Cash, Takeaway Available, Debit Card, Lunch, Serves Alcohol, Credit Card, Dinner, Outdoor Seating, Smoking Area, Indoor Seating, Air Conditioned",3.9,Good,167,Casual Dining
Aura Restaurant,Ballupur,"North Indian, Chinese, Italian",750,"Lunch, No Alcohol Available, Dinner, Cash, Credit Card, Indoor Seating, Table booking recommended, Wheelchair Accessible",3.5,Good,111,Casual Dining
Asia Seven,Jakhan,"Chinese, Japanese, Thai, Seafood, Momos, Sushi",1100,"Dinner, Cash, Takeaway Available, Debit Card, Lunch, Delivery, Credit Card, Indoor Seating, Table booking recommended, Free Wifi, Air Conditioned",4.1,Very Good,102,Fine Dining
The Yellow Chilli,Hathibarkala Salwala,North Indian,1000,"Lunch, Cash, Takeaway Available, Credit Card, Debit Card, Dinner, Indoor Seating, Table Reservation Not Required",4.3,Very Good,235,Casual Dining
